ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20160304,867.6795,902.937,865.9596,894.3376,869.3993,24.938299999999913,2.8685,1381249.07,1429273.0627
000001.SZ,20160307,890.0379,902.0771,885.7382,889.178,894.3376,-5.159599999999955,-0.5769,606352.97,630155.5992
000001.SZ,20160308,890.8978,890.8978,854.7804,884.0183,889.178,-5.1597000000000435,-0.5803,643156.46,650471.6074
000001.SZ,20160309,871.9792,878.8587,863.3798,874.559,884.0183,-9.459299999999985,-1.07,325900.65,330124.8924
000001.SZ,20160310,880.5786,890.0379,871.1192,872.8391,874.559,-1.7198999999999387,-0.1967,474020.3,486414.2407
000001.SZ,20160311,868.5394,878.8587,863.3798,873.699,872.8391,0.8598999999999251,0.0985,383736.72,389638.9342
000001.SZ,20160314,877.9987,899.4972,877.9987,882.2984,873.699,8.59940000000006,0.9843,655158.22,679161.305
000001.SZ,20160315,884.0183,890.8978,873.699,887.4581,882.2984,5.15969999999993,0.5848,417920.37,428786.6918
000001.SZ,20160316,883.1584,898.6373,881.4385,890.0379,887.4581,2.579800000000091,0.2907,664886.2,690087.7131
000001.SZ,20160317,890.8978,901.2171,885.7382,896.0575,890.0379,6.0195999999999685,0.6763,610996.38,635181.3135
000001.SZ,20160318,896.0575,908.9566,894.3376,906.3768,896.0575,10.319299999999998,1.1516,797215.81,836565.5528
000001.SZ,20160321,907.2367,933.8948,907.2367,928.7352,906.3768,22.35839999999996,2.4668,920432.81,987764.4619
000001.SZ,20160322,926.1554,940.7744,919.2759,921.8557,928.7352,-6.879500000000007,-0.7407,625482.48,675406.6114
000001.SZ,20160323,920.9957,926.1554,912.3963,920.1358,921.8557,-1.7198999999999387,-0.1866,430278.16,458963.2727
000001.SZ,20160324,912.3963,914.1162,902.937,904.6569,920.1358,-15.478900000000067,-1.6822,372406.24,393411.5445
000001.SZ,20160325,903.7969,911.5364,902.937,910.6765,904.6569,6.019600000000082,0.6654,237070.49,250338.4896
000001.SZ,20160328,913.2563,915.8361,898.6373,901.2171,910.6765,-9.459400000000073,-1.0387,358621.01,378973.3275
000001.SZ,20160329,903.7969,904.6569,892.6177,896.9174,901.2171,-4.299699999999916,-0.4771,318317.87,332422.3971
000001.SZ,20160330,901.2171,920.1358,900.3572,920.1358,896.9174,23.218399999999974,2.5887,539699.98,572627.4171
000001.SZ,20160331,920.9957,924.4355,914.9762,914.9762,920.1358,-5.159600000000069,-0.5607,418387.92,447266.2817
000001.SZ,20160401,913.2563,919.2759,902.937,916.696,914.9762,1.7198000000000775,0.188,369341.88,391830.3993
000001.SZ,20160405,913.2563,929.5951,902.937,920.1358,916.696,3.439799999999991,0.3752,592308.64,632378.8593
000001.SZ,20160406,918.4159,924.4355,912.3963,921.8557,920.1358,1.7198999999999387,0.1869,435259.54,464962.4371
000001.SZ,20160407,921.8557,922.7156,910.6765,910.6765,921.8557,-11.179199999999923,-1.2127,377719.59,401949.0506
000001.SZ,20160408,907.2367,917.556,902.937,908.9566,910.6765,-1.7199000000000524,-0.1889,376553.86,397998.2439
000001.SZ,20160411,911.5364,928.7352,911.5364,921.8557,908.9566,12.899099999999976,1.4191,786386.02,840486.3482
000001.SZ,20160412,920.1358,920.9957,913.2563,917.556,921.8557,-4.299699999999916,-0.4664,298599.54,318538.0018
000001.SZ,20160413,922.7156,943.3542,920.9957,929.5951,917.556,12.039099999999962,1.3121,856760.36,929858.5885
000001.SZ,20160414,935.6147,937.3346,927.8753,932.175,929.5951,2.5798999999999523,0.2775,323646.3,350702.7415
000001.SZ,20160415,932.175,940.7744,928.7352,935.6147,932.175,3.439700000000016,0.369,497224.04,541052.8584
000001.SZ,20160418,930.4551,933.0349,922.7156,922.7156,935.6147,-12.899099999999976,-1.3787,350654.01,377791.4368
000001.SZ,20160419,926.1554,929.5951,920.9957,926.1554,922.7156,3.439799999999991,0.3728,218239.94,234479.8443
000001.SZ,20160420,926.1554,927.0153,890.8978,904.6569,926.1554,-21.498500000000035,-2.3213,606586.25,640149.6771
000001.SZ,20160421,904.6569,914.1162,898.6373,903.7969,904.6569,-0.8599999999999,-0.0951,558799.2,588731.5475
000001.SZ,20160422,899.4972,913.2563,895.1975,907.2367,903.7969,3.439799999999991,0.3806,359677.12,379176.1393
